Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
30	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
3	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
3	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
29	B Property and deception offences	B40 Theft	3162	CAULFIELD	2009
1	B Property and deception offences	B50 Deception	3162	CAULFIELD	2009
26	B Property and deception offences	B50 Deception	3162	CAULFIELD	2009
1	B Property and deception offences	B10 Arson	3162	CAULFIELD	2010
17	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2010
3	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2010
1	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2010
17	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2010
23	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2011
8	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2011
21	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2011
8	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2011
4	B Property and deception offences	B40 Theft	3162	CAULFIELD	2011
36	B Property and deception offences	B40 Theft	3162	CAULFIELD	2011
6	B Property and deception offences	B40 Theft	3162	CAULFIELD	2011
1	B Property and deception offences	B40 Theft	3162	CAULFIELD	2011
3	B Property and deception offences	B40 Theft	3162	CAULFIELD	2011
35	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
2	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
1	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
23	B Property and deception offences	B40 Theft	3162	CAULFIELD	2012
2	B Property and deception offences	B50 Deception	3162	CAULFIELD	2012
27	B Property and deception offences	B50 Deception	3162	CAULFIELD	2012
1	B Property and deception offences	B60 Bribery	3162	CAULFIELD	2012
31	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2013
6	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2013
2	B Property and deception offences	B50 Deception	3162	CAULFIELD	2013
41	B Property and deception offences	B50 Deception	3162	CAULFIELD	2013
1	B Property and deception offences	B50 Deception	3162	CAULFIELD	2013
1	B Property and deception offences	B10 Arson	3162	CAULFIELD	2014
17	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2014
2	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2014
1	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2014
1	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2014
12	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2014
11	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2014
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2014
25	B Property and deception offences	B40 Theft	3162	CAULFIELD	2014
7	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2017
4	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2017
19	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2017
5	B Property and deception offences	B30 Burglary/Break and enter	3162	CAULFIELD	2017
2	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
29	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
6	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
7	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
9	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
1	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
28	B Property and deception offences	B40 Theft	3162	CAULFIELD	2017
2	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2011
2	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2011
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2011
3	D Public order and security offences	D30 Public nuisance offences	3162	CAULFIELD	2011
3	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
25	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2012
1	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2013
5	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2013
21	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2013
2	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2013
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2013
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2016
20	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2016
4	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2016
15	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2016
4	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2017
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2017
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2017
2	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2017
10	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2017
3	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2017
20	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2017
1	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2008
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2008
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2009
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2009
5	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2009
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2010
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2010
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3162	CAULFIELD	2010
8	A Crimes against the person	Other crimes against the person	3162	CAULFIELD	2010
1	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2011
6	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2011
2	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2011
3	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2011
6	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2011
2	A Crimes against the person	A50 Robbery	3162	CAULFIELD	2011
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2011
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2011
8	A Crimes against the person	Other crimes against the person	3162	CAULFIELD	2011
1	F Other offences	F10 Regulatory driving offences	3162	CAULFIELD	2011
2	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2011
1	F Other offences	F10 Regulatory driving offences	3162	CAULFIELD	2012
1	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2012
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2012
3	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2013
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2013
2	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2014
1	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2014
1	F Other offences	F90 Miscellaneous offences	3162	CAULFIELD	2014
1	F Other offences	F30 Other government regulatory offences	3162	CAULFIELD	2015
1	F Other offences	F20 Transport regulation offences	3162	CAULFIELD	2016
2	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2015
7	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2015
1	A Crimes against the person	A50 Robbery	3162	CAULFIELD	2015
1	A Crimes against the person	A50 Robbery	3162	CAULFIELD	2015
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2015
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2015
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2015
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3162	CAULFIELD	2015
13	A Crimes against the person	Other crimes against the person	3162	CAULFIELD	2015
10	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2016
6	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2016
2	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2014
2	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2014
8	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2014
1	A Crimes against the person	A50 Robbery	3162	CAULFIELD	2014
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2014
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3162	CAULFIELD	2014
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3162	CAULFIELD	2014
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3162	CAULFIELD	2014
6	A Crimes against the person	Other crimes against the person	3162	CAULFIELD	2014
3	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2015
10	A Crimes against the person	A20 Assault and related offences	3162	CAULFIELD	2015
39	B Property and deception offences	B40 Theft	3162	CAULFIELD	2016
8	B Property and deception offences	B40 Theft	3162	CAULFIELD	2016
5	B Property and deception offences	B40 Theft	3162	CAULFIELD	2016
9	B Property and deception offences	B40 Theft	3162	CAULFIELD	2016
24	B Property and deception offences	B40 Theft	3162	CAULFIELD	2016
37	B Property and deception offences	B50 Deception	3162	CAULFIELD	2016
1	B Property and deception offences	B10 Arson	3162	CAULFIELD	2017
20	B Property and deception offences	B20 Property damage	3162	CAULFIELD	2017
2	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2009
5	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2009
4	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2009
2	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2009
4	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2010
14	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2010
7	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2010
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2010
1	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2010
1	D Public order and security offences	D30 Public nuisance offences	3162	CAULFIELD	2010
1	D Public order and security offences	D30 Public nuisance offences	3162	CAULFIELD	2010
2	D Public order and security offences	D40 Public security offences	3162	CAULFIELD	2010
2	D Public order and security offences	D10 Weapons and explosives offences	3162	CAULFIELD	2011
13	D Public order and security offences	D20 Disorderly and offensive conduct	3162	CAULFIELD	2011
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2013
8	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2013
1	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2013
2	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2014
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2014
3	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2014
11	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2014
4	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2014
15	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2014
2	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2014
1	E Justice procedures offences	E10 Justice procedures	3162	CAULFIELD	2015
9	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2015
1	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2015
25	E Justice procedures offences	E20 Breaches of orders	3162	CAULFIELD	2015
