Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
167	B Property and deception offences	B40 Theft	3128	BOX HILL	2009
207	B Property and deception offences	B40 Theft	3128	BOX HILL	2009
9	B Property and deception offences	B40 Theft	3128	BOX HILL	2009
22	B Property and deception offences	B40 Theft	3128	BOX HILL	2009
195	B Property and deception offences	B40 Theft	3128	BOX HILL	2009
4	B Property and deception offences	B50 Deception	3128	BOX HILL	2009
56	B Property and deception offences	B50 Deception	3128	BOX HILL	2009
1	B Property and deception offences	B50 Deception	3128	BOX HILL	2009
8	B Property and deception offences	B10 Arson	3128	BOX HILL	2010
131	B Property and deception offences	B20 Property damage	3128	BOX HILL	2010
3	B Property and deception offences	B20 Property damage	3128	BOX HILL	2010
2	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2010
1	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2010
56	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2010
1	B Property and deception offences	B50 Deception	3128	BOX HILL	2011
56	B Property and deception offences	B50 Deception	3128	BOX HILL	2011
1	B Property and deception offences	B50 Deception	3128	BOX HILL	2011
1	B Property and deception offences	B50 Deception	3128	BOX HILL	2011
1	B Property and deception offences	B60 Bribery	3128	BOX HILL	2011
6	B Property and deception offences	B10 Arson	3128	BOX HILL	2012
116	B Property and deception offences	B20 Property damage	3128	BOX HILL	2012
4	B Property and deception offences	B20 Property damage	3128	BOX HILL	2012
1	B Property and deception offences	B20 Property damage	3128	BOX HILL	2012
1	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2012
48	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2012
46	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2012
23	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
167	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
141	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
6	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
18	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
3	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
205	B Property and deception offences	B40 Theft	3128	BOX HILL	2012
4	B Property and deception offences	B50 Deception	3128	BOX HILL	2012
41	B Property and deception offences	B50 Deception	3128	BOX HILL	2012
5	B Property and deception offences	B50 Deception	3128	BOX HILL	2012
8	B Property and deception offences	B10 Arson	3128	BOX HILL	2013
2	B Property and deception offences	B10 Arson	3128	BOX HILL	2013
90	B Property and deception offences	B20 Property damage	3128	BOX HILL	2013
3	B Property and deception offences	B20 Property damage	3128	BOX HILL	2013
10	B Property and deception offences	B50 Deception	3128	BOX HILL	2013
60	B Property and deception offences	B50 Deception	3128	BOX HILL	2013
5	B Property and deception offences	B50 Deception	3128	BOX HILL	2013
4	B Property and deception offences	B10 Arson	3128	BOX HILL	2014
1	B Property and deception offences	B10 Arson	3128	BOX HILL	2014
97	B Property and deception offences	B20 Property damage	3128	BOX HILL	2014
8	B Property and deception offences	B20 Property damage	3128	BOX HILL	2014
4	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2014
48	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2014
41	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2014
24	B Property and deception offences	B40 Theft	3128	BOX HILL	2014
127	B Property and deception offences	B40 Theft	3128	BOX HILL	2014
85	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2015
39	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2015
31	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
99	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
125	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
10	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
11	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
2	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
174	B Property and deception offences	B40 Theft	3128	BOX HILL	2015
6	B Property and deception offences	B50 Deception	3128	BOX HILL	2015
149	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
120	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
7	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
12	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
1	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
127	B Property and deception offences	B40 Theft	3128	BOX HILL	2016
7	B Property and deception offences	B50 Deception	3128	BOX HILL	2016
79	B Property and deception offences	B50 Deception	3128	BOX HILL	2016
6	B Property and deception offences	B50 Deception	3128	BOX HILL	2016
4	B Property and deception offences	B10 Arson	3128	BOX HILL	2017
91	B Property and deception offences	B20 Property damage	3128	BOX HILL	2017
3	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2011
25	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2011
4	C Drug offences	C10 Drug dealing and trafficking	3128	BOX HILL	2012
2	C Drug offences	C20 Cultivate or manufacture drugs	3128	BOX HILL	2012
1	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2012
23	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2012
6	C Drug offences	C10 Drug dealing and trafficking	3128	BOX HILL	2013
2	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2013
30	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2013
5	C Drug offences	C10 Drug dealing and trafficking	3128	BOX HILL	2014
2	C Drug offences	C20 Cultivate or manufacture drugs	3128	BOX HILL	2014
2	C Drug offences	C20 Cultivate or manufacture drugs	3128	BOX HILL	2014
24	C Drug offences	C30 Drug use and possession	3128	BOX HILL	2014
2	C Drug offences	C10 Drug dealing and trafficking	3128	BOX HILL	2015
10	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2011
4	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2011
2	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2011
4	D Public order and security offences	D30 Public nuisance offences	3128	BOX HILL	2011
21	D Public order and security offences	D10 Weapons and explosives offences	3128	BOX HILL	2012
1	D Public order and security offences	D10 Weapons and explosives offences	3128	BOX HILL	2012
40	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2012
8	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2012
12	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2012
4	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2012
1	D Public order and security offences	D30 Public nuisance offences	3128	BOX HILL	2012
5	D Public order and security offences	D30 Public nuisance offences	3128	BOX HILL	2012
1	D Public order and security offences	D30 Public nuisance offences	3128	BOX HILL	2012
2	D Public order and security offences	D40 Public security offences	3128	BOX HILL	2012
24	D Public order and security offences	D10 Weapons and explosives offences	3128	BOX HILL	2013
3	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2013
40	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2013
16	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2013
6	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2013
2	D Public order and security offences	D20 Disorderly and offensive conduct	3128	BOX HILL	2013
1	D Public order and security offences	D30 Public nuisance offences	3128	BOX HILL	2013
2	E Justice procedures offences	E10 Justice procedures	3128	BOX HILL	2016
3	E Justice procedures offences	E10 Justice procedures	3128	BOX HILL	2016
13	A Crimes against the person	A20 Assault and related offences	3128	BOX HILL	2015
9	A Crimes against the person	A20 Assault and related offences	3128	BOX HILL	2015
37	A Crimes against the person	A20 Assault and related offences	3128	BOX HILL	2015
4	A Crimes against the person	A50 Robbery	3128	BOX HILL	2015
1	A Crimes against the person	A50 Robbery	3128	BOX HILL	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3128	BOX HILL	2015
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3128	BOX HILL	2015
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3128	BOX HILL	2015
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3128	BOX HILL	2015
6	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3128	BOX HILL	2015
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3128	BOX HILL	2015
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3128	BOX HILL	2015
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3128	BOX HILL	2015
4	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3128	BOX HILL	2015
24	A Crimes against the person	Other crimes against the person	3128	BOX HILL	2015
10	A Crimes against the person	A20 Assault and related offences	3128	BOX HILL	2016
35	A Crimes against the person	A20 Assault and related offences	3128	BOX HILL	2016
9	B Property and deception offences	B20 Property damage	3128	BOX HILL	2017
1	B Property and deception offences	B20 Property damage	3128	BOX HILL	2017
4	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2017
35	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2017
59	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2017
2	B Property and deception offences	B30 Burglary/Break and enter	3128	BOX HILL	2017
27	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
94	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
112	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
12	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
12	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
158	B Property and deception offences	B40 Theft	3128	BOX HILL	2017
1	E Justice procedures offences	E10 Justice procedures	3128	BOX HILL	2009
3	E Justice procedures offences	E10 Justice procedures	3128	BOX HILL	2009
6	E Justice procedures offences	E10 Justice procedures	3128	BOX HILL	2009
5	E Justice procedures offences	E20 Breaches of orders	3128	BOX HILL	2009
