Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
21	A Crimes against the person	A20 Assault and related offences	3047	BROADMEADOWS	2016
56	A Crimes against the person	A20 Assault and related offences	3047	BROADMEADOWS	2016
63	A Crimes against the person	A20 Assault and related offences	3047	BROADMEADOWS	2016
21	A Crimes against the person	A50 Robbery	3047	BROADMEADOWS	2016
2	A Crimes against the person	A50 Robbery	3047	BROADMEADOWS	2016
12	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
6	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
18	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
12	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3047	BROADMEADOWS	2016
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3047	BROADMEADOWS	2016
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3047	BROADMEADOWS	2016
30	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3047	BROADMEADOWS	2016
50	A Crimes against the person	Other crimes against the person	3047	BROADMEADOWS	2016
43	A Crimes against the person	A20 Assault and related offences	3047	BROADMEADOWS	2017
50	A Crimes against the person	A20 Assault and related offences	3047	BROADMEADOWS	2017
285	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2008
58	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2008
1	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2009
4	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2009
7	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2009
12	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2009
8	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2009
24	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2009
264	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2009
75	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2009
1	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2010
6	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2010
9	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2010
8	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2010
6	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2010
37	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2010
2	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2010
271	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2010
44	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2010
3	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2011
9	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2011
9	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2011
12	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2011
26	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2011
2	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2011
322	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2011
61	E Justice procedures offences	E20 Breaches of orders	3047	BROADMEADOWS	2011
2	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2012
2	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2012
9	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2012
15	E Justice procedures offences	E10 Justice procedures	3047	BROADMEADOWS	2012
