Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
86	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2010
1	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2010
95	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
342	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
82	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
80	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
13	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
270	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2010
7	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2010
70	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2010
1	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2010
1	B Property and deception offences	B60 Bribery	3056	BRUNSWICK	2010
6	B Property and deception offences	B10 Arson	3056	BRUNSWICK	2011
239	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2011
28	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2011
19	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2011
153	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2011
64	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2011
1	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2011
131	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
394	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
85	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
98	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
17	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
250	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2011
5	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2011
64	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2011
1	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2011
1	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2011
4	B Property and deception offences	B10 Arson	3056	BRUNSWICK	2012
208	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2012
30	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2012
2	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2012
18	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2012
2	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2012
131	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2012
78	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2012
151	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
365	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
151	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
110	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
17	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
280	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2012
5	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2012
74	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2012
5	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2012
1	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2012
7	B Property and deception offences	B10 Arson	3056	BRUNSWICK	2013
189	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2013
32	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2013
2	B Property and deception offences	B20 Property damage	3056	BRUNSWICK	2013
24	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2013
127	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2013
108	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2013
3	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2013
117	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
315	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
120	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
134	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
22	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
276	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2015
189	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2015
102	B Property and deception offences	B30 Burglary/Break and enter	3056	BRUNSWICK	2015
162	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
499	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
119	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
217	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
22	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
1	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
319	B Property and deception offences	B40 Theft	3056	BRUNSWICK	2015
31	B Property and deception offences	B50 Deception	3056	BRUNSWICK	2015
2	C Drug offences	C20 Cultivate or manufacture drugs	3056	BRUNSWICK	2011
4	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2011
28	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2011
6	C Drug offences	C10 Drug dealing and trafficking	3056	BRUNSWICK	2012
2	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2012
24	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2012
5	C Drug offences	C10 Drug dealing and trafficking	3056	BRUNSWICK	2013
1	C Drug offences	C20 Cultivate or manufacture drugs	3056	BRUNSWICK	2013
1	C Drug offences	C20 Cultivate or manufacture drugs	3056	BRUNSWICK	2013
1	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2013
35	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2013
4	C Drug offences	C10 Drug dealing and trafficking	3056	BRUNSWICK	2014
1	C Drug offences	C20 Cultivate or manufacture drugs	3056	BRUNSWICK	2014
1	C Drug offences	C20 Cultivate or manufacture drugs	3056	BRUNSWICK	2014
4	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2014
41	C Drug offences	C30 Drug use and possession	3056	BRUNSWICK	2014
8	C Drug offences	C10 Drug dealing and trafficking	3056	BRUNSWICK	2015
28	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2011
7	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2011
2	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2011
3	D Public order and security offences	D30 Public nuisance offences	3056	BRUNSWICK	2011
2	D Public order and security offences	D10 Weapons and explosives offences	3056	BRUNSWICK	2012
21	D Public order and security offences	D10 Weapons and explosives offences	3056	BRUNSWICK	2012
3	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
62	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
12	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
2	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
2	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
1	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2012
1	D Public order and security offences	D30 Public nuisance offences	3056	BRUNSWICK	2012
2	D Public order and security offences	D30 Public nuisance offences	3056	BRUNSWICK	2012
1	D Public order and security offences	D30 Public nuisance offences	3056	BRUNSWICK	2012
9	D Public order and security offences	D10 Weapons and explosives offences	3056	BRUNSWICK	2013
22	D Public order and security offences	D10 Weapons and explosives offences	3056	BRUNSWICK	2013
3	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2013
48	D Public order and security offences	D20 Disorderly and offensive conduct	3056	BRUNSWICK	2013
7	A Crimes against the person	A20 Assault and related offences	3056	BRUNSWICK	2014
33	A Crimes against the person	A20 Assault and related offences	3056	BRUNSWICK	2014
40	A Crimes against the person	A20 Assault and related offences	3056	BRUNSWICK	2014
6	A Crimes against the person	A50 Robbery	3056	BRUNSWICK	2014
6	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
7	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
11	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3056	BRUNSWICK	2014
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3056	BRUNSWICK	2014
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3056	BRUNSWICK	2014
