Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
64	B Property and deception offences	B20 Property damage	3148	CHADSTONE	2008
3	B Property and deception offences	B30 Burglary/Break and enter	3148	CHADSTONE	2008
54	B Property and deception offences	B30 Burglary/Break and enter	3148	CHADSTONE	2008
20	B Property and deception offences	B30 Burglary/Break and enter	3148	CHADSTONE	2008
2	B Property and deception offences	B30 Burglary/Break and enter	3148	CHADSTONE	2008
54	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
163	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
62	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
1	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
9	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
98	B Property and deception offences	B40 Theft	3148	CHADSTONE	2008
132	B Property and deception offences	B40 Theft	3148	CHADSTONE	2016
140	B Property and deception offences	B40 Theft	3148	CHADSTONE	2016
3	B Property and deception offences	B40 Theft	3148	CHADSTONE	2016
10	B Property and deception offences	B40 Theft	3148	CHADSTONE	2016
61	B Property and deception offences	B40 Theft	3148	CHADSTONE	2016
6	B Property and deception offences	B50 Deception	3148	CHADSTONE	2016
93	B Property and deception offences	B50 Deception	3148	CHADSTONE	2016
4	B Property and deception offences	B50 Deception	3148	CHADSTONE	2016
1	B Property and deception offences	B50 Deception	3148	CHADSTONE	2016
4	B Property and deception offences	B10 Arson	3148	CHADSTONE	2017
46	B Property and deception offences	B20 Property damage	3148	CHADSTONE	2017
2	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2009
5	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2009
1	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2009
1	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2009
1	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2009
1	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2009
3	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2010
8	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2010
2	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2010
1	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2010
1	D Public order and security offences	D30 Public nuisance offences	3148	CHADSTONE	2010
2	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2011
2	D Public order and security offences	D10 Weapons and explosives offences	3148	CHADSTONE	2011
5	D Public order and security offences	D20 Disorderly and offensive conduct	3148	CHADSTONE	2011
12	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2013
1	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2013
1	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2014
1	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2014
10	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2014
4	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2014
4	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2015
1	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2015
1	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2015
12	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2015
19	E Justice procedures offences	E20 Breaches of orders	3148	CHADSTONE	2015
12	E Justice procedures offences	E10 Justice procedures	3148	CHADSTONE	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3148	CHADSTONE	2010
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3148	CHADSTONE	2010
7	A Crimes against the person	Other crimes against the person	3148	CHADSTONE	2010
2	A Crimes against the person	A20 Assault and related offences	3148	CHADSTONE	2011
15	A Crimes against the person	A20 Assault and related offences	3148	CHADSTONE	2011
4	A Crimes against the person	A20 Assault and related offences	3148	CHADSTONE	2011
10	A Crimes against the person	A20 Assault and related offences	3148	CHADSTONE	2011
