Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
22	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2009
27	A Crimes against the person	A50 Robbery	3168	CLAYTON	2009
3	A Crimes against the person	A50 Robbery	3168	CLAYTON	2009
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2009
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2009
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2009
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3168	CLAYTON	2009
6	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3168	CLAYTON	2009
10	A Crimes against the person	Other crimes against the person	3168	CLAYTON	2009
6	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2010
32	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2010
2	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2010
3	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2010
24	A Crimes against the person	A20 Assault and related offences	3168	CLAYTON	2010
31	A Crimes against the person	A50 Robbery	3168	CLAYTON	2010
3	A Crimes against the person	A50 Robbery	3168	CLAYTON	2010
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2010
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2010
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3168	CLAYTON	2010
172	B Property and deception offences	B40 Theft	3168	CLAYTON	2011
6	B Property and deception offences	B50 Deception	3168	CLAYTON	2011
40	B Property and deception offences	B50 Deception	3168	CLAYTON	2011
1	B Property and deception offences	B50 Deception	3168	CLAYTON	2011
2	B Property and deception offences	B10 Arson	3168	CLAYTON	2012
78	B Property and deception offences	B20 Property damage	3168	CLAYTON	2012
8	B Property and deception offences	B20 Property damage	3168	CLAYTON	2012
1	B Property and deception offences	B20 Property damage	3168	CLAYTON	2012
7	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2012
157	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2012
61	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2012
50	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
133	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
33	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
20	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
17	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
182	B Property and deception offences	B40 Theft	3168	CLAYTON	2012
6	B Property and deception offences	B50 Deception	3168	CLAYTON	2012
48	B Property and deception offences	B50 Deception	3168	CLAYTON	2012
1	B Property and deception offences	B50 Deception	3168	CLAYTON	2012
11	B Property and deception offences	B10 Arson	3168	CLAYTON	2013
91	B Property and deception offences	B20 Property damage	3168	CLAYTON	2013
6	B Property and deception offences	B20 Property damage	3168	CLAYTON	2013
7	B Property and deception offences	B50 Deception	3168	CLAYTON	2013
66	B Property and deception offences	B50 Deception	3168	CLAYTON	2013
3	B Property and deception offences	B50 Deception	3168	CLAYTON	2013
2	B Property and deception offences	B50 Deception	3168	CLAYTON	2013
9	B Property and deception offences	B10 Arson	3168	CLAYTON	2014
69	B Property and deception offences	B20 Property damage	3168	CLAYTON	2014
3	B Property and deception offences	B20 Property damage	3168	CLAYTON	2014
1	B Property and deception offences	B20 Property damage	3168	CLAYTON	2014
95	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2014
55	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2014
1	B Property and deception offences	B30 Burglary/Break and enter	3168	CLAYTON	2014
60	B Property and deception offences	B40 Theft	3168	CLAYTON	2014
159	B Property and deception offences	B40 Theft	3168	CLAYTON	2014
185	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
48	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
31	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
20	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
1	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
177	B Property and deception offences	B40 Theft	3168	CLAYTON	2016
5	B Property and deception offences	B50 Deception	3168	CLAYTON	2016
77	B Property and deception offences	B50 Deception	3168	CLAYTON	2016
4	B Property and deception offences	B50 Deception	3168	CLAYTON	2016
10	B Property and deception offences	B10 Arson	3168	CLAYTON	2017
83	B Property and deception offences	B20 Property damage	3168	CLAYTON	2017
1	C Drug offences	C20 Cultivate or manufacture drugs	3168	CLAYTON	2015
5	C Drug offences	C30 Drug use and possession	3168	CLAYTON	2015
29	C Drug offences	C30 Drug use and possession	3168	CLAYTON	2015
6	C Drug offences	C10 Drug dealing and trafficking	3168	CLAYTON	2016
1	C Drug offences	C20 Cultivate or manufacture drugs	3168	CLAYTON	2016
2	C Drug offences	C20 Cultivate or manufacture drugs	3168	CLAYTON	2016
1	C Drug offences	C30 Drug use and possession	3168	CLAYTON	2016
25	C Drug offences	C30 Drug use and possession	3168	CLAYTON	2016
4	C Drug offences	C10 Drug dealing and trafficking	3168	CLAYTON	2017
4	C Drug offences	C20 Cultivate or manufacture drugs	3168	CLAYTON	2017
1	C Drug offences	C20 Cultivate or manufacture drugs	3168	CLAYTON	2017
26	C Drug offences	C30 Drug use and possession	3168	CLAYTON	2017
3	D Public order and security offences	D10 Weapons and explosives offences	3168	CLAYTON	2008
14	D Public order and security offences	D10 Weapons and explosives offences	3168	CLAYTON	2008
1	D Public order and security offences	D10 Weapons and explosives offences	3168	CLAYTON	2008
1	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2008
1	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2008
3	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2008
2	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2008
3	D Public order and security offences	D30 Public nuisance offences	3168	CLAYTON	2008
15	D Public order and security offences	D10 Weapons and explosives offences	3168	CLAYTON	2016
19	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2016
7	D Public order and security offences	D20 Disorderly and offensive conduct	3168	CLAYTON	2016
4	D Public order and security offences	D30 Public nuisance offences	3168	CLAYTON	2016
