Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
9	B Property and deception offences	B50 Deception	3058	COBURG	2008
69	B Property and deception offences	B50 Deception	3058	COBURG	2008
1	B Property and deception offences	B50 Deception	3058	COBURG	2008
2	B Property and deception offences	B60 Bribery	3058	COBURG	2008
14	B Property and deception offences	B10 Arson	3058	COBURG	2009
207	B Property and deception offences	B20 Property damage	3058	COBURG	2009
1	B Property and deception offences	B20 Property damage	3058	COBURG	2009
1	B Property and deception offences	B20 Property damage	3058	COBURG	2009
13	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2009
160	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2009
91	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2009
143	B Property and deception offences	B40 Theft	3058	COBURG	2009
272	B Property and deception offences	B40 Theft	3058	COBURG	2009
173	B Property and deception offences	B20 Property damage	3058	COBURG	2011
16	B Property and deception offences	B20 Property damage	3058	COBURG	2011
2	B Property and deception offences	B20 Property damage	3058	COBURG	2011
16	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2011
1	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2011
171	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2011
72	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2011
1	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2011
143	B Property and deception offences	B40 Theft	3058	COBURG	2011
384	B Property and deception offences	B40 Theft	3058	COBURG	2011
186	B Property and deception offences	B40 Theft	3058	COBURG	2011
26	B Property and deception offences	B40 Theft	3058	COBURG	2011
20	B Property and deception offences	B40 Theft	3058	COBURG	2011
231	B Property and deception offences	B40 Theft	3058	COBURG	2011
23	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2013
154	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2013
95	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2013
120	B Property and deception offences	B40 Theft	3058	COBURG	2013
296	B Property and deception offences	B40 Theft	3058	COBURG	2013
123	B Property and deception offences	B40 Theft	3058	COBURG	2013
43	B Property and deception offences	B40 Theft	3058	COBURG	2013
29	B Property and deception offences	B40 Theft	3058	COBURG	2013
2	B Property and deception offences	B40 Theft	3058	COBURG	2013
244	B Property and deception offences	B40 Theft	3058	COBURG	2013
176	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2015
72	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2015
1	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2015
151	B Property and deception offences	B40 Theft	3058	COBURG	2015
441	B Property and deception offences	B40 Theft	3058	COBURG	2015
157	B Property and deception offences	B40 Theft	3058	COBURG	2015
52	B Property and deception offences	B40 Theft	3058	COBURG	2015
31	B Property and deception offences	B40 Theft	3058	COBURG	2015
1	B Property and deception offences	B40 Theft	3058	COBURG	2015
221	B Property and deception offences	B40 Theft	3058	COBURG	2015
14	B Property and deception offences	B50 Deception	3058	COBURG	2015
18	B Property and deception offences	B50 Deception	3058	COBURG	2017
129	B Property and deception offences	B50 Deception	3058	COBURG	2017
7	B Property and deception offences	B50 Deception	3058	COBURG	2017
1	B Property and deception offences	B50 Deception	3058	COBURG	2017
2	B Property and deception offences	B50 Deception	3058	COBURG	2017
1	B Property and deception offences	B60 Bribery	3058	COBURG	2017
12	C Drug offences	C10 Drug dealing and trafficking	3058	COBURG	2008
2	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2008
6	C Drug offences	C30 Drug use and possession	3058	COBURG	2008
35	C Drug offences	C30 Drug use and possession	3058	COBURG	2008
8	C Drug offences	C10 Drug dealing and trafficking	3058	COBURG	2009
5	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2009
1	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2009
4	C Drug offences	C30 Drug use and possession	3058	COBURG	2009
24	C Drug offences	C30 Drug use and possession	3058	COBURG	2009
9	C Drug offences	C10 Drug dealing and trafficking	3058	COBURG	2010
1	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2010
1	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2010
7	C Drug offences	C30 Drug use and possession	3058	COBURG	2010
21	C Drug offences	C30 Drug use and possession	3058	COBURG	2010
8	C Drug offences	C10 Drug dealing and trafficking	3058	COBURG	2011
1	C Drug offences	C20 Cultivate or manufacture drugs	3058	COBURG	2011
6	D Public order and security offences	D30 Public nuisance offences	3058	COBURG	2013
6	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2014
21	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2014
1	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2014
1	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2014
35	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2014
13	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2014
1	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2014
4	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2014
5	D Public order and security offences	D30 Public nuisance offences	3058	COBURG	2014
2	D Public order and security offences	D30 Public nuisance offences	3058	COBURG	2014
5	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2015
26	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2015
2	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2015
2	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2015
8	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2015
11	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2015
1	D Public order and security offences	D20 Disorderly and offensive conduct	3058	COBURG	2015
4	D Public order and security offences	D30 Public nuisance offences	3058	COBURG	2015
1	D Public order and security offences	D30 Public nuisance offences	3058	COBURG	2015
6	D Public order and security offences	D10 Weapons and explosives offences	3058	COBURG	2016
46	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2013
10	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2013
25	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2013
33	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2013
13	A Crimes against the person	A50 Robbery	3058	COBURG	2013
9	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
8	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3058	COBURG	2013
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3058	COBURG	2013
4	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3058	COBURG	2013
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3058	COBURG	2013
26	A Crimes against the person	Other crimes against the person	3058	COBURG	2013
36	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2014
52	A Crimes against the person	A20 Assault and related offences	3058	COBURG	2014
13	B Property and deception offences	B50 Deception	3058	COBURG	2011
72	B Property and deception offences	B50 Deception	3058	COBURG	2011
1	B Property and deception offences	B50 Deception	3058	COBURG	2011
1	B Property and deception offences	B50 Deception	3058	COBURG	2011
2	B Property and deception offences	B50 Deception	3058	COBURG	2011
13	B Property and deception offences	B10 Arson	3058	COBURG	2012
205	B Property and deception offences	B20 Property damage	3058	COBURG	2012
6	B Property and deception offences	B20 Property damage	3058	COBURG	2012
2	B Property and deception offences	B20 Property damage	3058	COBURG	2012
17	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2012
2	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2012
168	B Property and deception offences	B30 Burglary/Break and enter	3058	COBURG	2012
