Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
74	A Crimes against the person	A20 Assault and related offences	3175	DANDENONG	2015
146	A Crimes against the person	A20 Assault and related offences	3175	DANDENONG	2015
149	A Crimes against the person	A20 Assault and related offences	3175	DANDENONG	2015
62	A Crimes against the person	A50 Robbery	3175	DANDENONG	2015
3	A Crimes against the person	A50 Robbery	3175	DANDENONG	2015
28	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
16	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
38	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
42	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3175	DANDENONG	2015
8	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3175	DANDENONG	2015
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3175	DANDENONG	2015
13	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3175	DANDENONG	2015
33	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3175	DANDENONG	2015
93	A Crimes against the person	Other crimes against the person	3175	DANDENONG	2015
73	A Crimes against the person	A20 Assault and related offences	3175	DANDENONG	2016
165	A Crimes against the person	A20 Assault and related offences	3175	DANDENONG	2016
417	B Property and deception offences	B20 Property damage	3175	DANDENONG	2011
21	B Property and deception offences	B20 Property damage	3175	DANDENONG	2011
15	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2011
3	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2011
206	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2011
162	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2011
3	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2011
212	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
380	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
467	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
23	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
86	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
4	B Property and deception offences	B40 Theft	3175	DANDENONG	2011
1	B Property and deception offences	B20 Property damage	3175	DANDENONG	2013
25	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2013
198	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2013
211	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2013
6	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2013
175	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
404	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
748	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
17	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
62	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
4	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
436	B Property and deception offences	B40 Theft	3175	DANDENONG	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2015
176	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2015
225	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2015
4	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2015
264	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
522	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
353	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
30	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
102	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
1	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
478	B Property and deception offences	B40 Theft	3175	DANDENONG	2015
36	B Property and deception offences	B50 Deception	3175	DANDENONG	2015
4	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2011
18	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2011
196	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2011
1	C Drug offences	C10 Drug dealing and trafficking	3175	DANDENONG	2012
30	C Drug offences	C10 Drug dealing and trafficking	3175	DANDENONG	2012
3	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2012
3	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2012
11	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2012
204	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2012
38	C Drug offences	C10 Drug dealing and trafficking	3175	DANDENONG	2013
2	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2013
5	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2013
14	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2013
214	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2013
47	C Drug offences	C10 Drug dealing and trafficking	3175	DANDENONG	2014
1	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2014
8	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2014
13	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2014
209	C Drug offences	C30 Drug use and possession	3175	DANDENONG	2014
53	C Drug offences	C10 Drug dealing and trafficking	3175	DANDENONG	2015
2	C Drug offences	C20 Cultivate or manufacture drugs	3175	DANDENONG	2015
1	F Other offences	F90 Miscellaneous offences	3175	DANDENONG	2009
1	F Other offences	F10 Regulatory driving offences	3175	DANDENONG	2010
3	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2010
4	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2010
5	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2010
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2010
14	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2010
1	F Other offences	F10 Regulatory driving offences	3175	DANDENONG	2011
5	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2011
1	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2011
10	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2011
1	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2011
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2011
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2011
1	F Other offences	F90 Miscellaneous offences	3175	DANDENONG	2011
2	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2012
1	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2012
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2012
4	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2012
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2012
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2012
3	F Other offences	F90 Miscellaneous offences	3175	DANDENONG	2012
1	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2013
1	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2013
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2013
1	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2013
23	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2013
2	F Other offences	F90 Miscellaneous offences	3175	DANDENONG	2013
1	F Other offences	F90 Miscellaneous offences	3175	DANDENONG	2013
5	F Other offences	F20 Transport regulation offences	3175	DANDENONG	2014
2	F Other offences	F30 Other government regulatory offences	3175	DANDENONG	2014
231	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2010
2	B Property and deception offences	B30 Burglary/Break and enter	3175	DANDENONG	2010
195	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
373	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
535	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
17	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
74	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
2	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
477	B Property and deception offences	B40 Theft	3175	DANDENONG	2010
18	B Property and deception offences	B50 Deception	3175	DANDENONG	2010
134	B Property and deception offences	B50 Deception	3175	DANDENONG	2010
8	B Property and deception offences	B50 Deception	3175	DANDENONG	2010
2	B Property and deception offences	B50 Deception	3175	DANDENONG	2010
3	B Property and deception offences	B50 Deception	3175	DANDENONG	2010
34	B Property and deception offences	B10 Arson	3175	DANDENONG	2011
410	B Property and deception offences	B40 Theft	3175	DANDENONG	2012
567	B Property and deception offences	B40 Theft	3175	DANDENONG	2012
18	B Property and deception offences	B40 Theft	3175	DANDENONG	2012
67	B Property and deception offences	B40 Theft	3175	DANDENONG	2012
469	B Property and deception offences	B40 Theft	3175	DANDENONG	2012
14	B Property and deception offences	B50 Deception	3175	DANDENONG	2012
185	B Property and deception offences	B50 Deception	3175	DANDENONG	2012
16	B Property and deception offences	B50 Deception	3175	DANDENONG	2012
3	B Property and deception offences	B50 Deception	3175	DANDENONG	2012
22	B Property and deception offences	B10 Arson	3175	DANDENONG	2013
443	B Property and deception offences	B20 Property damage	3175	DANDENONG	2013
