Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
4	A Crimes against the person	A20 Assault and related offences	3060	FAWKNER	2016
24	A Crimes against the person	A20 Assault and related offences	3060	FAWKNER	2016
17	A Crimes against the person	A20 Assault and related offences	3060	FAWKNER	2016
3	A Crimes against the person	A50 Robbery	3060	FAWKNER	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3060	FAWKNER	2016
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3060	FAWKNER	2016
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3060	FAWKNER	2016
21	A Crimes against the person	Other crimes against the person	3060	FAWKNER	2016
20	A Crimes against the person	A20 Assault and related offences	3060	FAWKNER	2017
17	A Crimes against the person	A20 Assault and related offences	3060	FAWKNER	2017
1	B Property and deception offences	B50 Deception	3060	FAWKNER	2011
26	B Property and deception offences	B50 Deception	3060	FAWKNER	2011
1	B Property and deception offences	B50 Deception	3060	FAWKNER	2011
5	B Property and deception offences	B10 Arson	3060	FAWKNER	2012
85	B Property and deception offences	B20 Property damage	3060	FAWKNER	2012
1	B Property and deception offences	B20 Property damage	3060	FAWKNER	2012
5	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2012
74	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2012
38	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2012
1	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2012
59	B Property and deception offences	B40 Theft	3060	FAWKNER	2012
6	B Property and deception offences	B50 Deception	3060	FAWKNER	2013
49	B Property and deception offences	B50 Deception	3060	FAWKNER	2013
1	B Property and deception offences	B50 Deception	3060	FAWKNER	2013
6	B Property and deception offences	B10 Arson	3060	FAWKNER	2014
1	B Property and deception offences	B10 Arson	3060	FAWKNER	2014
62	B Property and deception offences	B20 Property damage	3060	FAWKNER	2014
1	B Property and deception offences	B20 Property damage	3060	FAWKNER	2014
4	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2014
50	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2014
32	B Property and deception offences	B30 Burglary/Break and enter	3060	FAWKNER	2014
57	B Property and deception offences	B40 Theft	3060	FAWKNER	2014
126	B Property and deception offences	B40 Theft	3060	FAWKNER	2014
