Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
11	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2013
2	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2013
10	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2013
3	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2013
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3046	HADFIELD	2013
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3046	HADFIELD	2013
7	A Crimes against the person	Other crimes against the person	3046	HADFIELD	2013
20	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2014
4	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2014
1	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2016
26	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2016
7	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2016
1	A Crimes against the person	A50 Robbery	3046	HADFIELD	2016
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2016
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2016
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2016
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3046	HADFIELD	2016
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3046	HADFIELD	2016
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3046	HADFIELD	2016
5	A Crimes against the person	Other crimes against the person	3046	HADFIELD	2016
13	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2017
6	A Crimes against the person	A20 Assault and related offences	3046	HADFIELD	2017
16	B Property and deception offences	B50 Deception	3046	HADFIELD	2015
2	B Property and deception offences	B50 Deception	3046	HADFIELD	2015
3	B Property and deception offences	B10 Arson	3046	HADFIELD	2016
35	B Property and deception offences	B20 Property damage	3046	HADFIELD	2016
1	B Property and deception offences	B20 Property damage	3046	HADFIELD	2016
5	B Property and deception offences	B30 Burglary/Break and enter	3046	HADFIELD	2016
33	B Property and deception offences	B30 Burglary/Break and enter	3046	HADFIELD	2016
9	B Property and deception offences	B30 Burglary/Break and enter	3046	HADFIELD	2016
21	B Property and deception offences	B40 Theft	3046	HADFIELD	2016
68	B Property and deception offences	B40 Theft	3046	HADFIELD	2016
13	C Drug offences	C30 Drug use and possession	3046	HADFIELD	2015
2	C Drug offences	C10 Drug dealing and trafficking	3046	HADFIELD	2016
1	C Drug offences	C20 Cultivate or manufacture drugs	3046	HADFIELD	2016
1	C Drug offences	C30 Drug use and possession	3046	HADFIELD	2016
12	C Drug offences	C30 Drug use and possession	3046	HADFIELD	2016
1	C Drug offences	C10 Drug dealing and trafficking	3046	HADFIELD	2017
7	C Drug offences	C30 Drug use and possession	3046	HADFIELD	2017
