Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
8	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2015
19	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2015
12	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2015
6	A Crimes against the person	A50 Robbery	3070	NORTHCOTE	2015
1	A Crimes against the person	A50 Robbery	3070	NORTHCOTE	2015
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
6	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2015
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3070	NORTHCOTE	2015
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3070	NORTHCOTE	2015
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3070	NORTHCOTE	2015
17	A Crimes against the person	Other crimes against the person	3070	NORTHCOTE	2015
21	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2016
27	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2016
189	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2011
29	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2011
1	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2011
16	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2011
198	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2011
50	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2011
101	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
217	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
50	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
42	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
8	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
157	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2011
243	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
85	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
54	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
8	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
1	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
114	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2012
4	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2012
63	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2012
2	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2012
9	B Property and deception offences	B10 Arson	3070	NORTHCOTE	2013
162	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2013
43	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2013
1	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2013
23	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2013
209	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2013
74	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2013
123	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
271	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
67	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
74	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
10	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
160	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2013
75	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2014
91	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2014
17	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2014
162	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2014
7	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2014
83	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2014
2	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2014
1	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2014
5	B Property and deception offences	B10 Arson	3070	NORTHCOTE	2015
1	B Property and deception offences	B10 Arson	3070	NORTHCOTE	2015
102	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2015
47	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2015
12	B Property and deception offences	B30 Burglary/Break and enter	3070	NORTHCOTE	2015
63	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2016
94	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2016
27	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2016
156	B Property and deception offences	B40 Theft	3070	NORTHCOTE	2016
5	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2016
106	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2016
4	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2016
1	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2016
1	B Property and deception offences	B50 Deception	3070	NORTHCOTE	2016
6	B Property and deception offences	B10 Arson	3070	NORTHCOTE	2017
139	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2017
23	B Property and deception offences	B20 Property damage	3070	NORTHCOTE	2017
1	C Drug offences	C20 Cultivate or manufacture drugs	3070	NORTHCOTE	2015
2	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2015
45	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2015
7	C Drug offences	C10 Drug dealing and trafficking	3070	NORTHCOTE	2016
2	C Drug offences	C20 Cultivate or manufacture drugs	3070	NORTHCOTE	2016
1	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2016
41	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2016
3	C Drug offences	C10 Drug dealing and trafficking	3070	NORTHCOTE	2017
3	C Drug offences	C20 Cultivate or manufacture drugs	3070	NORTHCOTE	2017
1	C Drug offences	C20 Cultivate or manufacture drugs	3070	NORTHCOTE	2017
1	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2017
27	C Drug offences	C30 Drug use and possession	3070	NORTHCOTE	2017
2	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2008
14	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2008
1	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2008
2	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2008
1	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2008
6	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2008
3	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2008
4	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2008
4	D Public order and security offences	D30 Public nuisance offences	3070	NORTHCOTE	2008
28	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2016
2	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2016
10	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2016
3	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2016
4	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2016
1	D Public order and security offences	D20 Disorderly and offensive conduct	3070	NORTHCOTE	2016
1	D Public order and security offences	D30 Public nuisance offences	3070	NORTHCOTE	2016
5	D Public order and security offences	D30 Public nuisance offences	3070	NORTHCOTE	2016
1	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2017
19	D Public order and security offences	D10 Weapons and explosives offences	3070	NORTHCOTE	2017
35	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2013
4	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2013
11	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2013
20	A Crimes against the person	A20 Assault and related offences	3070	NORTHCOTE	2013
17	A Crimes against the person	A50 Robbery	3070	NORTHCOTE	2013
3	A Crimes against the person	A50 Robbery	3070	NORTHCOTE	2013
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2013
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2013
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2013
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3070	NORTHCOTE	2013
