Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
3	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2016
23	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2016
10	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2016
10	A Crimes against the person	A50 Robbery	3044	PASCOE VALE	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2016
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2016
7	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2016
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2016
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3044	PASCOE VALE	2016
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3044	PASCOE VALE	2016
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3044	PASCOE VALE	2016
14	A Crimes against the person	Other crimes against the person	3044	PASCOE VALE	2016
21	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2017
14	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2017
5	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2009
8	A Crimes against the person	A50 Robbery	3044	PASCOE VALE	2009
6	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2009
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2009
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2009
1	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3044	PASCOE VALE	2009
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3044	PASCOE VALE	2009
11	A Crimes against the person	Other crimes against the person	3044	PASCOE VALE	2009
7	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2010
7	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2010
1	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2010
8	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2010
6	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2010
12	A Crimes against the person	A50 Robbery	3044	PASCOE VALE	2010
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2010
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2010
1	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2015
21	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2015
17	A Crimes against the person	A20 Assault and related offences	3044	PASCOE VALE	2015
4	A Crimes against the person	A50 Robbery	3044	PASCOE VALE	2015
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2015
4	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3044	PASCOE VALE	2015
