Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
10	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2008
111	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2008
31	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2008
10	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2008
50	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2008
24	A Crimes against the person	A50 Robbery	3072	PRESTON	2008
3	A Crimes against the person	A50 Robbery	3072	PRESTON	2008
10	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3072	PRESTON	2008
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3072	PRESTON	2008
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3072	PRESTON	2008
12	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3072	PRESTON	2008
3	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3072	PRESTON	2008
8	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3072	PRESTON	2008
31	A Crimes against the person	Other crimes against the person	3072	PRESTON	2008
16	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2009
84	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2009
26	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2009
12	A Crimes against the person	A20 Assault and related offences	3072	PRESTON	2009
316	B Property and deception offences	B20 Property damage	3072	PRESTON	2011
28	B Property and deception offences	B20 Property damage	3072	PRESTON	2011
3	B Property and deception offences	B20 Property damage	3072	PRESTON	2011
22	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2011
1	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2011
227	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2011
165	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2011
174	B Property and deception offences	B40 Theft	3072	PRESTON	2011
514	B Property and deception offences	B40 Theft	3072	PRESTON	2011
761	B Property and deception offences	B40 Theft	3072	PRESTON	2011
27	B Property and deception offences	B40 Theft	3072	PRESTON	2011
51	B Property and deception offences	B40 Theft	3072	PRESTON	2011
1	B Property and deception offences	B40 Theft	3072	PRESTON	2011
418	B Property and deception offences	B40 Theft	3072	PRESTON	2011
14	B Property and deception offences	B50 Deception	3072	PRESTON	2011
153	B Property and deception offences	B50 Deception	3072	PRESTON	2011
18	B Property and deception offences	B50 Deception	3072	PRESTON	2011
2	B Property and deception offences	B60 Bribery	3072	PRESTON	2011
22	B Property and deception offences	B10 Arson	3072	PRESTON	2012
273	B Property and deception offences	B20 Property damage	3072	PRESTON	2012
17	B Property and deception offences	B20 Property damage	3072	PRESTON	2012
2	B Property and deception offences	B20 Property damage	3072	PRESTON	2012
21	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2012
2	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2012
250	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2012
178	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2012
2	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2012
230	B Property and deception offences	B40 Theft	3072	PRESTON	2012
39	B Property and deception offences	B50 Deception	3072	PRESTON	2013
301	B Property and deception offences	B50 Deception	3072	PRESTON	2013
7	B Property and deception offences	B50 Deception	3072	PRESTON	2013
1	B Property and deception offences	B50 Deception	3072	PRESTON	2013
1	B Property and deception offences	B50 Deception	3072	PRESTON	2013
16	B Property and deception offences	B10 Arson	3072	PRESTON	2014
302	B Property and deception offences	B20 Property damage	3072	PRESTON	2014
27	B Property and deception offences	B20 Property damage	3072	PRESTON	2014
3	B Property and deception offences	B20 Property damage	3072	PRESTON	2014
5	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2014
1	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2014
343	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2014
181	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2014
3	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2014
258	B Property and deception offences	B40 Theft	3072	PRESTON	2014
630	B Property and deception offences	B40 Theft	3072	PRESTON	2014
625	B Property and deception offences	B40 Theft	3072	PRESTON	2016
47	B Property and deception offences	B40 Theft	3072	PRESTON	2016
149	B Property and deception offences	B40 Theft	3072	PRESTON	2016
446	B Property and deception offences	B40 Theft	3072	PRESTON	2016
42	B Property and deception offences	B50 Deception	3072	PRESTON	2016
351	B Property and deception offences	B50 Deception	3072	PRESTON	2016
15	B Property and deception offences	B50 Deception	3072	PRESTON	2016
1	B Property and deception offences	B50 Deception	3072	PRESTON	2016
1	B Property and deception offences	B50 Deception	3072	PRESTON	2016
11	B Property and deception offences	B10 Arson	3072	PRESTON	2017
267	B Property and deception offences	B20 Property damage	3072	PRESTON	2017
20	B Property and deception offences	B20 Property damage	3072	PRESTON	2017
3	C Drug offences	C20 Cultivate or manufacture drugs	3072	PRESTON	2015
7	C Drug offences	C30 Drug use and possession	3072	PRESTON	2015
104	C Drug offences	C30 Drug use and possession	3072	PRESTON	2015
43	C Drug offences	C10 Drug dealing and trafficking	3072	PRESTON	2016
9	C Drug offences	C20 Cultivate or manufacture drugs	3072	PRESTON	2016
2	C Drug offences	C30 Drug use and possession	3072	PRESTON	2016
143	C Drug offences	C30 Drug use and possession	3072	PRESTON	2016
24	C Drug offences	C10 Drug dealing and trafficking	3072	PRESTON	2017
2	C Drug offences	C20 Cultivate or manufacture drugs	3072	PRESTON	2017
3	C Drug offences	C20 Cultivate or manufacture drugs	3072	PRESTON	2017
2	C Drug offences	C30 Drug use and possession	3072	PRESTON	2017
61	C Drug offences	C30 Drug use and possession	3072	PRESTON	2017
5	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2008
38	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2008
2	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2008
1	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
8	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
15	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
7	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
6	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
1	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2008
9	D Public order and security offences	D30 Public nuisance offences	3072	PRESTON	2008
120	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2016
1	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2016
1	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
47	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
16	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
8	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
19	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
1	D Public order and security offences	D20 Disorderly and offensive conduct	3072	PRESTON	2016
3	D Public order and security offences	D30 Public nuisance offences	3072	PRESTON	2016
12	D Public order and security offences	D30 Public nuisance offences	3072	PRESTON	2016
9	D Public order and security offences	D10 Weapons and explosives offences	3072	PRESTON	2017
175	B Property and deception offences	B30 Burglary/Break and enter	3072	PRESTON	2010
207	B Property and deception offences	B40 Theft	3072	PRESTON	2010
419	B Property and deception offences	B40 Theft	3072	PRESTON	2010
591	B Property and deception offences	B40 Theft	3072	PRESTON	2010
29	B Property and deception offences	B40 Theft	3072	PRESTON	2010
45	B Property and deception offences	B40 Theft	3072	PRESTON	2010
436	B Property and deception offences	B40 Theft	3072	PRESTON	2010
15	B Property and deception offences	B50 Deception	3072	PRESTON	2010
160	B Property and deception offences	B50 Deception	3072	PRESTON	2010
5	B Property and deception offences	B50 Deception	3072	PRESTON	2010
1	B Property and deception offences	B50 Deception	3072	PRESTON	2010
1	B Property and deception offences	B50 Deception	3072	PRESTON	2010
18	B Property and deception offences	B10 Arson	3072	PRESTON	2011
554	B Property and deception offences	B40 Theft	3072	PRESTON	2012
613	B Property and deception offences	B40 Theft	3072	PRESTON	2012
