Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
30	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2008
92	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2008
18	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2008
24	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2008
67	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2008
38	A Crimes against the person	A50 Robbery	3073	RESERVOIR	2008
4	A Crimes against the person	A50 Robbery	3073	RESERVOIR	2008
12	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3073	RESERVOIR	2008
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3073	RESERVOIR	2008
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3073	RESERVOIR	2008
16	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3073	RESERVOIR	2008
5	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3073	RESERVOIR	2008
8	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3073	RESERVOIR	2008
38	A Crimes against the person	Other crimes against the person	3073	RESERVOIR	2008
33	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2009
90	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2009
20	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2009
20	A Crimes against the person	A20 Assault and related offences	3073	RESERVOIR	2009
25	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2013
453	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2013
104	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2013
162	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
381	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
51	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
19	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
36	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
177	B Property and deception offences	B40 Theft	3073	RESERVOIR	2013
10	B Property and deception offences	B50 Deception	3073	RESERVOIR	2013
89	B Property and deception offences	B50 Deception	3073	RESERVOIR	2013
4	B Property and deception offences	B50 Deception	3073	RESERVOIR	2013
1	B Property and deception offences	B50 Deception	3073	RESERVOIR	2013
22	B Property and deception offences	B10 Arson	3073	RESERVOIR	2014
275	B Property and deception offences	B20 Property damage	3073	RESERVOIR	2014
23	B Property and deception offences	B20 Property damage	3073	RESERVOIR	2014
14	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2014
2	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2014
495	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2014
73	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2014
1	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2014
214	B Property and deception offences	B40 Theft	3073	RESERVOIR	2014
515	B Property and deception offences	B40 Theft	3073	RESERVOIR	2014
100	B Property and deception offences	B50 Deception	3073	RESERVOIR	2015
5	B Property and deception offences	B50 Deception	3073	RESERVOIR	2015
2	B Property and deception offences	B50 Deception	3073	RESERVOIR	2015
20	B Property and deception offences	B10 Arson	3073	RESERVOIR	2016
312	B Property and deception offences	B20 Property damage	3073	RESERVOIR	2016
21	B Property and deception offences	B20 Property damage	3073	RESERVOIR	2016
1	B Property and deception offences	B20 Property damage	3073	RESERVOIR	2016
18	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2016
484	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2016
88	B Property and deception offences	B30 Burglary/Break and enter	3073	RESERVOIR	2016
244	B Property and deception offences	B40 Theft	3073	RESERVOIR	2016
672	B Property and deception offences	B40 Theft	3073	RESERVOIR	2016
6	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2011
72	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2011
23	C Drug offences	C10 Drug dealing and trafficking	3073	RESERVOIR	2012
7	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2012
4	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2012
5	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2012
106	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2012
14	C Drug offences	C10 Drug dealing and trafficking	3073	RESERVOIR	2013
5	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2013
1	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2013
9	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2013
70	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2013
14	C Drug offences	C10 Drug dealing and trafficking	3073	RESERVOIR	2014
4	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2014
2	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2014
2	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2014
102	C Drug offences	C30 Drug use and possession	3073	RESERVOIR	2014
32	C Drug offences	C10 Drug dealing and trafficking	3073	RESERVOIR	2015
6	C Drug offences	C20 Cultivate or manufacture drugs	3073	RESERVOIR	2015
3	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2013
1	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2013
15	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2014
47	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2014
19	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2014
5	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2014
6	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2014
4	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2014
2	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2014
1	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2014
3	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2014
2	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2014
15	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2015
54	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2015
1	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2015
3	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
29	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
9	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
3	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
1	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
1	D Public order and security offences	D20 Disorderly and offensive conduct	3073	RESERVOIR	2015
1	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2015
7	D Public order and security offences	D30 Public nuisance offences	3073	RESERVOIR	2015
9	D Public order and security offences	D10 Weapons and explosives offences	3073	RESERVOIR	2016
1	F Other offences	F90 Miscellaneous offences	3073	RESERVOIR	2009
2	F Other offences	F30 Other government regulatory offences	3073	RESERVOIR	2010
1	F Other offences	F30 Other government regulatory offences	3073	RESERVOIR	2010
1	F Other offences	F30 Other government regulatory offences	3073	RESERVOIR	2011
1	F Other offences	F30 Other government regulatory offences	3073	RESERVOIR	2011
