Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
3	A Crimes against the person	Other crimes against the person	3011	SEDDON	2010
1	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2011
3	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2011
2	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2011
3	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2011
1	A Crimes against the person	A50 Robbery	3011	SEDDON	2011
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2011
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2011
3	A Crimes against the person	Other crimes against the person	3011	SEDDON	2011
1	B Property and deception offences	B40 Theft	3011	SEDDON	2009
5	B Property and deception offences	B40 Theft	3011	SEDDON	2009
1	B Property and deception offences	B40 Theft	3011	SEDDON	2009
10	B Property and deception offences	B40 Theft	3011	SEDDON	2009
2	B Property and deception offences	B50 Deception	3011	SEDDON	2009
2	B Property and deception offences	B10 Arson	3011	SEDDON	2010
37	B Property and deception offences	B20 Property damage	3011	SEDDON	2010
2	B Property and deception offences	B20 Property damage	3011	SEDDON	2010
1	B Property and deception offences	B20 Property damage	3011	SEDDON	2010
3	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2010
1	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2010
46	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2010
1	E Justice procedures offences	E10 Justice procedures	3011	SEDDON	2013
3	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2013
2	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2014
2	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2014
4	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2014
1	E Justice procedures offences	E10 Justice procedures	3011	SEDDON	2015
3	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2015
9	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2015
1	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2015
1	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2015
3	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2015
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2015
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2015
5	A Crimes against the person	Other crimes against the person	3011	SEDDON	2015
2	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2016
2	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2016
3	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2014
4	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2014
3	A Crimes against the person	A50 Robbery	3011	SEDDON	2014
1	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2014
2	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3011	SEDDON	2014
2	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3011	SEDDON	2014
2	A Crimes against the person	Other crimes against the person	3011	SEDDON	2014
4	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2015
4	A Crimes against the person	A20 Assault and related offences	3011	SEDDON	2015
3	D Public order and security offences	D10 Weapons and explosives offences	3011	SEDDON	2016
2	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2016
1	D Public order and security offences	D30 Public nuisance offences	3011	SEDDON	2016
2	D Public order and security offences	D10 Weapons and explosives offences	3011	SEDDON	2017
3	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2017
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2017
3	D Public order and security offences	D30 Public nuisance offences	3011	SEDDON	2017
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2010
11	B Property and deception offences	B40 Theft	3011	SEDDON	2010
44	B Property and deception offences	B40 Theft	3011	SEDDON	2010
3	B Property and deception offences	B40 Theft	3011	SEDDON	2010
8	B Property and deception offences	B40 Theft	3011	SEDDON	2010
1	B Property and deception offences	B40 Theft	3011	SEDDON	2010
16	B Property and deception offences	B40 Theft	3011	SEDDON	2010
1	B Property and deception offences	B50 Deception	3011	SEDDON	2010
1	B Property and deception offences	B50 Deception	3011	SEDDON	2010
66	B Property and deception offences	B40 Theft	3011	SEDDON	2012
7	B Property and deception offences	B40 Theft	3011	SEDDON	2012
13	B Property and deception offences	B40 Theft	3011	SEDDON	2012
3	B Property and deception offences	B40 Theft	3011	SEDDON	2012
24	B Property and deception offences	B40 Theft	3011	SEDDON	2012
1	B Property and deception offences	B50 Deception	3011	SEDDON	2012
1	B Property and deception offences	B10 Arson	3011	SEDDON	2013
25	B Property and deception offences	B20 Property damage	3011	SEDDON	2013
5	B Property and deception offences	B20 Property damage	3011	SEDDON	2013
3	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2013
1	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2013
35	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2013
7	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2013
12	B Property and deception offences	B40 Theft	3011	SEDDON	2013
40	B Property and deception offences	B40 Theft	3011	SEDDON	2013
2	B Property and deception offences	B40 Theft	3011	SEDDON	2013
11	B Property and deception offences	B40 Theft	3011	SEDDON	2013
5	B Property and deception offences	B40 Theft	3011	SEDDON	2013
19	B Property and deception offences	B40 Theft	3011	SEDDON	2013
24	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2015
6	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2015
9	B Property and deception offences	B40 Theft	3011	SEDDON	2015
58	B Property and deception offences	B40 Theft	3011	SEDDON	2015
14	B Property and deception offences	B40 Theft	3011	SEDDON	2015
4	B Property and deception offences	B40 Theft	3011	SEDDON	2015
15	B Property and deception offences	B40 Theft	3011	SEDDON	2015
1	B Property and deception offences	B40 Theft	3011	SEDDON	2016
16	B Property and deception offences	B40 Theft	3011	SEDDON	2016
2	B Property and deception offences	B40 Theft	3011	SEDDON	2016
18	B Property and deception offences	B40 Theft	3011	SEDDON	2016
2	B Property and deception offences	B50 Deception	3011	SEDDON	2016
5	B Property and deception offences	B50 Deception	3011	SEDDON	2016
1	B Property and deception offences	B10 Arson	3011	SEDDON	2017
17	B Property and deception offences	B20 Property damage	3011	SEDDON	2017
1	B Property and deception offences	B20 Property damage	3011	SEDDON	2017
5	B Property and deception offences	B50 Deception	3011	SEDDON	2017
2	C Drug offences	C10 Drug dealing and trafficking	3011	SEDDON	2008
1	C Drug offences	C20 Cultivate or manufacture drugs	3011	SEDDON	2008
1	C Drug offences	C30 Drug use and possession	3011	SEDDON	2008
6	C Drug offences	C30 Drug use and possession	3011	SEDDON	2008
1	C Drug offences	C10 Drug dealing and trafficking	3011	SEDDON	2009
1	C Drug offences	C20 Cultivate or manufacture drugs	3011	SEDDON	2009
4	C Drug offences	C30 Drug use and possession	3011	SEDDON	2009
1	C Drug offences	C10 Drug dealing and trafficking	3011	SEDDON	2010
1	C Drug offences	C20 Cultivate or manufacture drugs	3011	SEDDON	2010
7	C Drug offences	C30 Drug use and possession	3011	SEDDON	2010
1	C Drug offences	C10 Drug dealing and trafficking	3011	SEDDON	2011
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2009
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2009
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2009
1	D Public order and security offences	D30 Public nuisance offences	3011	SEDDON	2009
1	D Public order and security offences	D10 Weapons and explosives offences	3011	SEDDON	2010
3	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2010
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2010
1	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2010
1	D Public order and security offences	D30 Public nuisance offences	3011	SEDDON	2010
1	D Public order and security offences	D10 Weapons and explosives offences	3011	SEDDON	2011
3	D Public order and security offences	D20 Disorderly and offensive conduct	3011	SEDDON	2011
1	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2011
2	E Justice procedures offences	E10 Justice procedures	3011	SEDDON	2012
1	E Justice procedures offences	E10 Justice procedures	3011	SEDDON	2012
3	E Justice procedures offences	E20 Breaches of orders	3011	SEDDON	2012
23	B Property and deception offences	B20 Property damage	3011	SEDDON	2008
1	B Property and deception offences	B20 Property damage	3011	SEDDON	2008
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2008
69	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2008
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2008
16	B Property and deception offences	B40 Theft	3011	SEDDON	2008
59	B Property and deception offences	B40 Theft	3011	SEDDON	2008
1	B Property and deception offences	B40 Theft	3011	SEDDON	2008
5	B Property and deception offences	B40 Theft	3011	SEDDON	2008
6	B Property and deception offences	B40 Theft	3011	SEDDON	2008
12	B Property and deception offences	B40 Theft	3011	SEDDON	2008
2	B Property and deception offences	B10 Arson	3011	SEDDON	2014
19	B Property and deception offences	B20 Property damage	3011	SEDDON	2014
2	B Property and deception offences	B20 Property damage	3011	SEDDON	2014
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2014
23	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2014
8	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2014
11	B Property and deception offences	B40 Theft	3011	SEDDON	2014
37	B Property and deception offences	B40 Theft	3011	SEDDON	2014
2	B Property and deception offences	B10 Arson	3011	SEDDON	2016
1	B Property and deception offences	B10 Arson	3011	SEDDON	2016
21	B Property and deception offences	B20 Property damage	3011	SEDDON	2016
2	B Property and deception offences	B20 Property damage	3011	SEDDON	2016
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2016
1	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2016
14	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2016
4	B Property and deception offences	B30 Burglary/Break and enter	3011	SEDDON	2016
