Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
9	A Crimes against the person	A20 Assault and related offences	3429	SUNBURY	2016
63	A Crimes against the person	A20 Assault and related offences	3429	SUNBURY	2016
33	A Crimes against the person	A20 Assault and related offences	3429	SUNBURY	2016
7	A Crimes against the person	A50 Robbery	3429	SUNBURY	2016
2	A Crimes against the person	A50 Robbery	3429	SUNBURY	2016
14	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
3	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
5	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
14	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
8	A Crimes against the person	A70 Stalking, harassment and threatening behaviour	3429	SUNBURY	2016
13	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3429	SUNBURY	2016
4	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3429	SUNBURY	2016
9	A Crimes against the person	A80 Dangerous and negligent acts endangering people	3429	SUNBURY	2016
50	A Crimes against the person	Other crimes against the person	3429	SUNBURY	2016
63	A Crimes against the person	A20 Assault and related offences	3429	SUNBURY	2017
274	B Property and deception offences	B20 Property damage	3429	SUNBURY	2011
14	B Property and deception offences	B20 Property damage	3429	SUNBURY	2011
1	B Property and deception offences	B20 Property damage	3429	SUNBURY	2011
6	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2011
150	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2011
75	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2011
1	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2011
73	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
220	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
51	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
7	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
12	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
181	B Property and deception offences	B40 Theft	3429	SUNBURY	2011
2	B Property and deception offences	B50 Deception	3429	SUNBURY	2011
27	B Property and deception offences	B50 Deception	3429	SUNBURY	2011
1	B Property and deception offences	B50 Deception	3429	SUNBURY	2011
1	B Property and deception offences	B50 Deception	3429	SUNBURY	2011
18	B Property and deception offences	B10 Arson	3429	SUNBURY	2012
1	B Property and deception offences	B10 Arson	3429	SUNBURY	2012
258	B Property and deception offences	B20 Property damage	3429	SUNBURY	2012
2	B Property and deception offences	B20 Property damage	3429	SUNBURY	2012
1	B Property and deception offences	B20 Property damage	3429	SUNBURY	2012
5	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2012
114	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2012
67	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2012
1	B Property and deception offences	B30 Burglary/Break and enter	3429	SUNBURY	2012
9	B Property and deception offences	B20 Property damage	3429	SUNBURY	2013
1	B Property and deception offences	B20 Property damage	3429	SUNBURY	2013
