Incidents Recorded	Offence Division	Offence Subdivision	Postcode	Suburb/Town Name	Year ending December
265	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2008
2	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2008
17	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2008
1	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2008
152	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2008
110	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2008
1	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2008
298	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
568	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
202	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
25	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
49	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
1	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
361	B Property and deception offences	B40 Theft	3020	SUNSHINE	2008
19	B Property and deception offences	B50 Deception	3020	SUNSHINE	2011
133	B Property and deception offences	B50 Deception	3020	SUNSHINE	2011
6	B Property and deception offences	B50 Deception	3020	SUNSHINE	2011
1	B Property and deception offences	B50 Deception	3020	SUNSHINE	2011
8	B Property and deception offences	B10 Arson	3020	SUNSHINE	2012
212	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2012
12	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2012
1	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2012
8	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2012
1	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2012
152	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2012
110	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2012
1	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2012
194	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
420	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
191	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
8	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
60	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
1	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
414	B Property and deception offences	B40 Theft	3020	SUNSHINE	2012
17	B Property and deception offences	B50 Deception	3020	SUNSHINE	2012
143	B Property and deception offences	B50 Deception	3020	SUNSHINE	2012
14	B Property and deception offences	B50 Deception	3020	SUNSHINE	2012
1	B Property and deception offences	B50 Deception	3020	SUNSHINE	2012
17	B Property and deception offences	B10 Arson	3020	SUNSHINE	2013
198	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2013
10	B Property and deception offences	B20 Property damage	3020	SUNSHINE	2013
8	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2013
3	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2013
159	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2013
74	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2013
3	B Property and deception offences	B30 Burglary/Break and enter	3020	SUNSHINE	2013
142	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
346	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
127	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
18	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
49	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
361	B Property and deception offences	B40 Theft	3020	SUNSHINE	2013
