Suburb_Name,km_from_Melbourne
Abbotsford,2.5
Aberfeldie,9.1
Airport West,13.5
Albanvale,19.2
Albert Park,3.3
Albion,13.9
Alphington,6.4
Altona,13.8
Altona Meadows,18.1
Altona North,11.1
Ardeer,15.2
Armadale,6.3
Ascot Vale,5.9
Ashburton,11
Ashwood,12.2
Attwood,17.9
Avondale Heights,10.5
Balaclava,6.6
Balwyn,9.7
Balwyn North,9.2
Beaumaris,20
Bellfield,9.5
Bentleigh,13
Bentleigh East,13.9
Black Rock,18.3
Blackburn,16.1
Blackburn North,15.9
Blackburn South,15.6
Box Hill,13.1
Box Hill Central,13.1
Box Hill North,13.8
Box Hill South,13.4
Braeside,25
Braybrook,10.8
Braybrook North,7.6
Briar Hill,17.5
Brighton,11.2
Brighton East,10.7
Brighton North,10.4
Broadmeadows,15.4
Brooklyn,10.9
Brunswick,5.2
Brunswick East,4.5
Brunswick West,5.9
Bulla,24.3
Bulleen,11.8
Bundoora,15.3
Burnley,3.5
Burnley North,3.7
Burnside,20.3
Burnside Heights,21.7
Burwood,11.7
Burwood East,16.5
Cairnlea,17
Calder Park,23.7
Camberwell,7.8
Campbellfield,14.5
Canterbury,9
Carlton,1.8
Carlton North,3.2
Carnegie,11.4
Caroline Springs,22.1
Caulfield,8.9
Caulfield East,9.3
Caulfield North,8.1
Caulfield South,9.3
Chadstone,13.6
Chadstone Centre,15.9
Cheltenham,18.4
Clarinda,18.3
Clayton,18.1
Clayton South,19.6
Clifton Hill,3.4
Coburg,7.8
Coburg North,9.2
Collingwood,1.6
Coolaroo,18.3
Craigieburn,24
Cremorne,2.5
Dallas,16
Deer Park,17.9
Delahey,20
Derrimut,17.6
Diamond Creek,22.7
Dingley Village,22.1
Docklands,1.9
Doncaster,13.9
Doncaster East,17.8
Donvale,18.8
Eaglemont,10.3
East Melbourne,1.5
Elsternwick,8.5
Eltham,19.1
Eltham North,20.4
Elwood,7.7
Epping,18.8
Essendon,8
Essendon North,9.4
Essendon West,9.8
Fairfield,5.8
Fawkner,12.4
Fitzroy,1.6
Fitzroy North,3.5
Flemington,4.4
Footscray,6.4
Forest Hill,17.3
Gardenvale,9.8
Gladstone Park,15.8
Glen Huntly,10.4
Glen Iris,9.2
Glen Waverley,18.6
Glenroy,13
Gowanbrae,13.6
Greensborough,16.8
Greenvale,20.8
Hadfield,12.1
Hampton,13.7
Hampton East,14.5
Hawthorn,4.6
Hawthorn East,7.5
Heatherton,19.5
Heathmont,24.1
Heidelberg,10.6
Heidelberg Heights,10.5
Heidelberg West,9.4
Highett,16.3
Hillside,24.4
Hoppers Crossing,25
Hughesdale,13
Huntingdale,15.8
Ivanhoe,7.9
Ivanhoe East,9
Jacana,14.5
Kealba,15
Keilor,15.9
Keilor Downs,17.1
Keilor East,12.8
Keilor Lodge,20.1
Keilor North,18.3
Keilor Park,14.5
Kensington,4.2
Kew,5.6
Kew East,7.5
Kings Park,18.9
Kingsbury,12.4
Kingsville,7.8
Kingsville West,9.4
Kooyong,6.2
La Trobe University,12.2
Lalor,16.9
Laverton,19.3
Laverton North,15.2
Laverton Raaf,19.2
Lower Plenty,15.8
Macleod,13
Maidstone,9.2
Malvern,7.4
Malvern East,11.2
Malvern North,13
Maribyrnong,8.7
Mckinnon,12.3
Meadow Heights,18.7
Melbourne,2.8
Melbourne Airport,19.4
Mentone,20.6
Middle Park,4.1
Mill Park,18
Mitcham,19.6
Monash University,18
Mont Albert,11.8
Mont Albert North,12.4
Montmorency,17
Moonee Ponds,6.9
Moorabbin,14.6
Moorabbin Airport,21.5
Mordialloc,23.8
Moreland,7.3
Mount Waverley,15.5
Mulgrave,20.9
Murrumbeena,12.1
Newport,8.4
Niddrie,11.2
Noble Park,24.9
Noble Park North,25
North Melbourne,2.3
North Warrandyte,23.8
Northcote,5.5
Notting Hill,18.2
Nunawading,18
Oak Park,11.5
Oaklands Junction,23.5
Oakleigh,14
Oakleigh East,15.3
Oakleigh South,14.7
Ormond,11.8
Park Orchards,22
Parkdale,22
Parkville,2.6
Pascoe Vale,9.9
Pascoe Vale South,8.5
Plenty,20.8
Point Cook,22.3
Port Melbourne,3.8
Prahran,4.5
Preston,8.8
Princes Hill,3.7
Ravenhall,21.1
Research,22.1
Reservoir,11.2
Richmond,2.6
Ringwood,22.5
Ringwood East,24.3
Ringwood North,23.4
Ripponlea,7.4
Rosanna,11.4
Roxburgh Park,19.9
Royal Melbourne Hospital,2.1
Saint Helena,19.6
Sandringham,16
Sargood,13.8
